Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       10     0.00     0.00  std::__new_allocator<std::_Rb_tree_node<std::pair<int, int> > >::deallocate(std::_Rb_tree_node<std::pair<int, int> >*, unsigned long)
  0.00      0.00     0.00       10     0.00     0.00  std::__new_allocator<std::_Rb_tree_node<std::pair<int, int> > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00       10     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<int, int> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<int, int> > const&)
  0.00      0.00     0.00       10     0.00     0.00  std::set<std::pair<int, int>, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::insert(std::pair<int, int>&&)
  0.00      0.00     0.00       10     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<int, int> >*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<std::pair<int, int> >*&, std::_Rb_tree_node_base*&)
  0.00      0.00     0.00       10     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<int, int> >, bool>::pair<std::_Rb_tree_iterator<std::pair<int, int> >, bool, true>(std::_Rb_tree_iterator<std::pair<int, int> >&&, bool&&)
  0.00      0.00     0.00       10     0.00     0.00  std::pair<std::_Rb_tree_const_iterator<std::pair<int, int> >, bool>::pair<std::_Rb_tree_iterator<std::pair<int, int> >&, bool&, true>(std::_Rb_tree_iterator<std::pair<int, int> >&, bool&)
  0.00      0.00     0.00       10     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::erase(__gnu_cxx::__normal_iterator<GraphAlgo::Edge const*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >)
  0.00      0.00     0.00       10     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::_M_erase(__gnu_cxx::__normal_iterator<GraphAlgo::Edge*, std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> > >)
  0.00      0.00     0.00       10     0.00     0.00  std::vector<GraphAlgo::Edge, std::allocator<GraphAlgo::Edge> >::pop_back()
